"28"	"4"	"41"	"1139"	"0"	"CTU INDIA URQUIA. "	"LA VICTORIA"	"02ecff93fa0eb2c7d408f47cbc72ec17"	"1"	"2024-10-01 20:13:46"	\N	\N
"29"	"4"	"42"	"2279"	"0"	"URB. EZEQUIEL ZAMORA "	"EL CONSEJO"	"a9473b8550b8138faffc5dc9074fde60"	"1"	"2024-10-01 20:14:27"	\N	\N
"30"	"4"	"48"	"138"	"0"	"URBANIZACION \"LAS CAROLINAS II\""	"TURMERO"	"e84f11261025bb20be71209de49c9fbd"	"1"	"2024-10-01 20:14:52"	\N	\N
"31"	"4"	"39"	"118"	"0"	"CONJUNTO RESIDENCIAL \"LAGUNA DE COROPO\""	"SANTA RITA"	"66d5dd71e5d24e40187697ef1f58669b"	"1"	"2024-10-01 20:15:18"	\N	\N
"32"	"4"	"39"	"118"	"0"	"CONJUNTO RESIDENCIAL \"PARQUE COROPO\""	"SANTA RITA"	"3945efcb606ebee8b9b0f02392121a14"	"1"	"2024-10-01 20:15:42"	\N	\N
"33"	"4"	"48"	"138"	"0"	"CONJUNTO RESIDENCIAL \"LA PRADERA\""	"TURMERO"	"13eaa2bafffca1cd19736c586c99c154"	"1"	"2024-10-01 20:16:02"	\N	\N
"34"	"4"	"48"	"141"	"0"	"CONJUNTO RESIDENCIAL \"EL JABILLAR \""	"SAMAN DE GUERE"	"282493e5a7be39197aeb592d5b681a83"	"1"	"2024-10-01 20:16:26"	\N	\N
"35"	"4"	"40"	"121"	"0"	"LAGUNA DE SANTA CRUZ "	"SANTA CRUZ"	"5d3593c78ed4ade971989ff1f06deab1"	"1"	"2024-10-01 20:16:48"	\N	\N
"36"	"4"	"44"	"131"	"0"	"VALLES ARAGUA"	"CAÑA DE AZUCAR"	"af6fd444969246a64f88626dc13a2588"	"1"	"2024-10-01 20:17:13"	\N	\N
"37"	"4"	"48"	"139"	"0"	"DESARROLLO URBANISTICO MATA CABALLO"	"AREVALO APONTE"	"37d243294d654f0fbdb6e14bd60598de"	"1"	"2024-10-01 20:17:36"	\N	\N
"38"	"4"	"39"	"118"	"0"	"CONJUNTO RESIDENCIAL \"SANTA BÁRBARA\""	"SANTA RITA"	"529c1964e6c65504f8b2865aa2bd04cb"	"1"	"2024-10-01 20:17:56"	\N	\N
"39"	"4"	"48"	"138"	"0"	"LOS NISPEROS "	"TURMERO"	"27d71bf6f8380f0104f281f2e307cf3a"	"1"	"2024-10-01 20:18:13"	\N	\N
"40"	"4"	"48"	"141"	"0"	"VALLES DE SAN JOAQUIN "	"SAMAN DE GUERE"	"6d18827a77b0103191e61d503f0d0d83"	"1"	"2024-10-01 20:18:33"	\N	\N
"41"	"4"	"48"	"138"	"0"	"INDIA URIMARE/ 1ERO DE MAYO"	"TURMERO"	"b9a379e7c4dce00f4639529f3ed9cc99"	"1"	"2024-10-01 20:18:52"	\N	\N
"42"	"4"	"48"	"138"	"0"	"MONTAÑA FRESCA "	"TURMERO"	"b94f07eb2e8d20006d2a9cf75178fe00"	"1"	"2024-10-01 20:19:18"	\N	\N
"43"	"4"	"48"	"141"	"0"	"LA MORITA, PARCELA 77 "	"SAMAN DE GUERE"	"da5df9c8b6e00b27ed4a78108b3880eb"	"1"	"2024-10-01 20:19:37"	\N	\N
"44"	"4"	"48"	"138"	"0"	"OCV SANTIAGO MARIÑO"	"TURMERO"	"c488ff0b0cb7e26fdf996c6c66f6f072"	"1"	"2024-10-01 20:20:08"	\N	\N
"45"	"4"	"42"	"2279"	"0"	"URBANIZACION EL MIRADOR DE LA HACIENDA, SECTOR B Y C, PRIMERA ETAPA"	"EL CONSEJO"	"7e2e7ab7d6b1bd40a0c06bc6affbf5cb"	"1"	"2024-10-01 20:20:28"	\N	\N
"46"	"4"	"42"	"2279"	"0"	"DOCENTES POR LA VICTORIA (IPASME)"	"EL CONSEJO"	"741dee3cc1f65924ab2b557a601dc2e4"	"1"	"2024-10-01 20:20:55"	\N	\N
"47"	"4"	"43"	"128"	"0"	"CONJUNTO RESIDENCIAL\"LOS FRUTALES II\" "	"PALO NEGRO"	"8597a95c4fff6f157693db7ea9ff244b"	"1"	"2024-10-01 20:21:18"	\N	\N
"48"	"4"	"44"	"131"	"0"	"URBANISMO ANTONIO RICAURTE (CONVENIO CHINA - VENEZUELA)"	"CAÑA DE AZUCAR"	"a67689a6cc7e5525fc1d91876d575b5b"	"1"	"2024-10-01 20:21:42"	\N	\N
"49"	"4"	"53"	"2280"	"0"	"URBANIZACION LA GRAN VILLA"	"VILLA DE CURA"	"ff70a4fd4438993d7217d15106c6326e"	"1"	"2024-10-01 20:24:51"	\N	\N
"50"	"4"	"49"	"2281"	"0"	"RENACER DE LAS TEJERIAS II"	"TEJERIAS"	"8c54581f671c6e9c76b27bcc1b543a15"	"1"	"2024-10-01 20:25:16"	\N	\N
"51"	"4"	"53"	"2280"	"0"	"OCV TERRAZAS DE ARAGUA"	"VILLA DE CURA"	"22fa50acef4cec0f7ea55749ddffaf2f"	"1"	"2024-10-01 20:25:43"	\N	\N
"52"	"4"	"53"	"2280"	"0"	"CAPITAN JUAN DE DIOS AGRAZ"	"VILLA DE CURA"	"0aee624c56f71f9074ac2df266e91040"	"1"	"2024-10-01 20:26:04"	\N	\N
"53"	"4"	"53"	"2280"	"0"	"CONJUNTO RESIDENCIAL \"CIUDAD BICENTENARIA\""	"VILLA DE CURA"	"5011a44de97482537e6f4cc3e55814fb"	"1"	"2024-10-01 20:26:19"	\N	\N
"54"	"21"	"390"	"978"	"0"	" CACICA ISABEL "	"CARABALLEDA"	"2ccc47ae1029903995458e7c04755be6"	"1"	"2024-10-02 08:51:56"	\N	\N
"55"	"21"	"390"	"983"	"0"	" VICTORIA CON AMOR  (TOLON)"	"EL JUNKO"	"5cf79dd6826d7e60cbe3d6400783df53"	"1"	"2024-10-02 08:52:26"	\N	\N
"56"	"21"	"390"	"980"	"0"	"ANA VICTORIA I Y II"	"CARLOS SOUBLETTE"	"40521b70783353c444c499b360062656"	"1"	"2024-10-02 08:52:47"	\N	\N
"57"	"21"	"390"	"978"	"0"	"ANGEL DE PENIEL"	"CARABALLEDA"	"74aa82f9c8d74b76939debd315851661"	"1"	"2024-10-02 08:53:07"	\N	\N
"58"	"21"	"390"	"987"	"0"	"PUNTA CARE (BENITA CHIRINOS)"	"NAIGUATA"	"8e7d1a26562d4276560181200c6961bf"	"1"	"2024-10-02 08:53:28"	\N	\N
"59"	"21"	"390"	"988"	"0"	"BRISAS DE MAIQUETIA "	"URIMARE"	"97458b05f6d0b32ab5162ee380f5b5ab"	"1"	"2024-10-02 08:53:46"	\N	\N
"60"	"21"	"390"	"982"	"0"	"COLINAS DEL CANES"	"CATIA LA MAR"	"4f782b23186829a1402de3499d4f70f5"	"1"	"2024-10-02 08:54:06"	\N	\N
"61"	"21"	"390"	"988"	"0"	"CONJUNTO RESIDENCIAL PLAYA GRANDE (LA LLOVIZNA)"	"URIMARE"	"e9a353a76fd63a306a7deefd6cead712"	"1"	"2024-10-02 08:54:24"	\N	\N
"62"	"21"	"390"	"988"	"0"	"DESARROLLO HABITACIONAL COMANDANTE CHAVEZ"	"URIMARE"	"a91b2c78330f15a13427caa4356ad28d"	"1"	"2024-10-02 08:54:42"	\N	\N
"63"	"21"	"390"	"981"	"0"	"DESARROLLO HABITACIONAL LA VIRGINIA"	"CARUAO"	"67e3b934cf43267d3e26f3de8d22bf7b"	"1"	"2024-10-02 08:55:01"	\N	\N
